"","Player","Tm","Pos","MP","FG","FGP","X3P","X3PP","FTP","AST","ORB","DRB","STL","BLK"
"29","LaMelo Ball","CHO","PG","27.7","5.4","43.7","1.8","35.4","79.7","6.1","1.5","4.6","1.5","0.4"
"30","Lonzo Ball","NOP","PG","30.9","5.2","42.4","2.9","38.1","74.1","4.7","0.6","3.7","1.2","0.5"
"31","Mo Bamba","ORL","C","8.7","2.2","51.9","0.3","26.7","60","0.3","1.2","2.5","0.2","0.8"
"32","Desmond Bane","MEM","SG","22.8","3.8","48.4","2.1","48.2","82.4","1.6","0.5","2.2","0.7","0.2"
"33","Harrison Barnes","SAC","PF","35.1","5.3","48","1.7","38.8","84.3","3.4","1.1","5.1","0.8","0.2"
"34","RJ Barrett","NYK","SG","33.7","6.2","42.8","1","30.4","74.2","3.1","1.3","4.9","0.7","0.2"
"35","Will Barton","DEN","SF","29.8","4.4","43.6","1.6","40.4","75","3.2","0.5","3.2","0.8","0.4"
"36","Keita Bates-Diop","SAS","SF","3.4","0","0","0","0","83.3","0.3","0.1","0.3","0.1","0"
"37","Nicolas Batum","LAC","SF","29.9","3.3","49.2","2.1","45.6","86.7","2.3","0.9","4","1.4","0.4"
"38","Aron Baynes","TOR","C","18.8","2.4","41.1","0.5","22.2","77.8","1","1.5","3.9","0.3","0.3"
"39","Kent Bazemore","GSW","SF","16.6","2.5","51.5","1","45.9","80","1.6","0.5","2.6","0.8","0.6"
"40","Darius Bazley","OKC","PF","31.1","4.5","39.3","1.5","28.6","76.7","1.8","0.5","6.9","0.5","0.7"
"41","Bradley Beal","WAS","SG","35.3","11.4","47.3","2.5","33.7","89.6","4.7","1.4","3.8","1.3","0.5"
"42","Malik Beasley","MIN","SG","32.8","7.7","45.5","3.4","39.8","84.3","2.5","0.9","4","0.9","0.2"
"43","Jordan Bell","WAS","C","16.7","1.7","33.3","0","0","0","1.7","1.7","3.7","0.3","1"
"44","DeAndre' Bembry","TOR","SF","13.7","1.7","61.1","0.4","50","54.5","1.6","0.4","1.2","0.6","0.3"
"45","Dāvis Bertāns","WAS","PF","25.8","3.3","38.1","3","37.8","82.7","1","0.4","2.7","0.7","0.3"
"46","Patrick Beverley","LAC","PG","24.2","2.7","43.5","1.8","44.3","75.9","2.2","1","3.2","1","0.8"
"47","Saddiq Bey","DET","SF","20.3","2.9","41.8","1.9","41.3","82.6","1","0.4","3.2","0.5","0"
"48","Tyler Bey","DAL","SF","3.3","0.5","40","0","0","50","0","0.5","0.3","0","0.3"
"49","Khem Birch","ORL","C","21.8","2.5","51.4","0.1","25","74.2","1.2","2.8","3.2","0.7","0.7"
"50","Goga Bitadze","IND","C","9.5","1.7","57.9","0.2","16.7","75","0.2","0.7","1.5","0.2","1.1"
"51","Bismack Biyombo","CHO","C","22.5","2.7","58","0","0","44.7","1.3","2.2","3.6","0.2","1.2"
"52","Nemanja Bjelica","SAC","PF","16.2","2.3","44.8","0.5","26.9","82.1","2.2","0.9","2.8","0","0.2"
"53","Eric Bledsoe","NOP","SG","28.9","4.6","43.7","2.2","40.1","64.8","3.7","0.5","3.1","0.7","0.3"
"54","Keljin Blevins","POR","SF","4.8","0.1","11.1","0","0","0","0.5","0","0","0.3","0"
"55","Bogdan Bogdanović","ATL","SG","23.7","3.3","38.5","2.3","36.2","88.9","2.1","0.2","3.6","0.4","0.1"
"56","Bojan Bogdanović","UTA","SF","30.7","5","41.6","2.6","38.7","86.4","2.1","0.5","3.5","0.4","0"
"57","Bol Bol","DEN","PF","5.4","0.6","43.8","0.2","33.3","50","0.2","0","0.8","0.1","0.3"
"58","Marques Bolden","CLE","C","4.8","0.2","33.3","0","0","62.5","0","0.5","0.5","0.3","0.3"
"59","Jordan Bone","ORL","PG","14","1.6","42.6","0.7","31.3","0","1.3","0.3","1.4","0.1","0"
"60","Isaac Bonga","WAS","SF","13.5","0.8","38.9","0.5","40.9","66.7","0.5","0.5","1.8","0.2","0.2"
"61","Devin Booker","PHO","SG","35.2","9","49.2","2","35.3","82.9","4.4","0.2","3.5","0.9","0.3"
"62","Chris Boucher","TOR","C","23.4","4.8","52.8","1.6","44.1","75","1","2","4.8","0.5","2.1"
"63","Brian Bowen","IND","SF","5","1","50","0","0","100","0","0","1","0","0"
"64","Avery Bradley","MIA","SG","21.1","3.1","47","1.6","42.1","77.8","1.4","0.2","1.6","0.7","0.1"
"65","Tony Bradley","PHI","C","11.7","1.9","52.8","0","0","60","0.6","2.1","2.9","0.3","0.6"
"66","Jarrell Brantley","UTA","PF","2.8","0.4","37.5","0.4","50","0","0","0.1","0.4","0.1","0.1"
"67","Ignas Brazdeikis","NYK","SF","1.8","0","0","0","0","100","0.3","0.3","0.3","0","0"
"68","Mikal Bridges","PHO","SF","33.3","5.1","50.4","2","39.8","83.3","2.1","1.4","4","0.6","1"
"69","Miles Bridges","CHO","PF","26.7","3.8","46.9","1.3","36.4","93.9","1.9","1.3","4.5","0.7","0.8"
"70","Malcolm Brogdon","IND","PG","36","8.1","44.2","2.7","39.5","90.6","6.6","0.8","4.1","1.3","0.3"
"71","Dillon Brooks","MEM","SF","29.2","6.1","39.7","1.9","31.9","80","2.6","1","2.2","1.3","0.4"
"72","Bruce Brown","BRK","PG","19.2","2.7","55.5","0.2","18.2","69","1","1.3","3.1","0.7","0.4"
"73","Jaylen Brown","BOS","SG","33.4","9.9","50.6","2.4","40.9","76.8","3.6","1.2","4.3","1.2","0.6"
"74","Moses Brown","OKC","C","4.4","1","70","0","0","50","0.4","0.6","1.6","0.1","0.6"
"75","Sterling Brown","HOU","SG","21.4","2.8","45","1.5","40.8","100","1.8","0.8","3.1","1","0.3"
"76","Troy Brown Jr.","WAS","SF","15.8","1.7","35.5","0.8","30.6","58.3","1","0.6","2.8","0.2","0.2"
"77","Jalen Brunson","DAL","PG","24.1","4.3","51.5","1.1","38.2","88.9","3.6","0.2","3","0.4","0"
